Room,Day,Period,Class name,Teacher,,,,,,,,,,
5401,Monday,3,課題研究（領域横断）,稲葉美由紀,,,,,,,,,,
5401,Monday,4,課題研究（人と社会領域）,溝口 孝司・田尻 義了・舟橋 京子,,,,,,,,,,
5401,Tuesday,2,〔 学際〕情報学H,馬 博軒・THOMAS Diego,,,,,,,,,,
5401,Wednesday,4,課題研究（地球・環境領域） ,楠見 淳子,,,,,,,,,,
5401,Thursday,2,課題研究（領域横断） ,渡部　哲史,,,,,,,,,,
5401,Thursday,3,課題研究（地球・環境領域） ,桑原 義博・大野 正夫,,,,,,,,,,
5401,Thursday,4,課題研究（領域横断） ,鏑木 政彦,,,,,,,,,,
5311,Monday,3,異文化対応２,Li Xiaoyan・Kang Ik Joon,,,,,,,,,,
5311,Tuesday,1,課題研究（国家と地域領域）,山形 幸彦,,,,,,,,,,
5311,Tuesday,2,世界を理解するための歴史的視座,田尻 義了,,,,,,,,,,
5311,Tuesday,3,共創プロジェクト,,,,,,,,,,,
5311,Tuesday,4,共創プロジェクト,,,,,,,,,,,
5311,Thursday,1,データの収集・分析,脇 隼人,,,,,,,,,,
5311,Thursday,4,学術研究基礎,中野 伸彦,,,,,,,,,,
5309,Tuesday,1,課題とイノベーション,萩島 理,,,,,,,,,,
5309,Tuesday,3,共創プロジェクト,,,,,,,,,,,
5309,Tuesday,4,共創プロジェクト,,,,,,,,,,,
5309,Wednesday,2,課題研究（国家と地域領域）,荒谷 邦雄,,,,,,,,,,
5309,Thursday,1,世界の様々な哲学,鏑木 政彦,,,,,,,,,,
5309,Thursday,4,学術研究基礎,菅 浩伸,,,,,,,,,,
5310,Tuesday,2,課題とイノベーション,Lauwereyns Johan,,,,,,,,,,
5310,Tuesday,3,共創プロジェクト,,,,,,,,,,,
5310,Thursday,1,世界の様々な哲学,古川 不可知,,,,,,,,,,
5310,Thursday,4,学術研究基礎,Weiss David,,,,,,,,,,
5313,Monday,4,課題研究（地球・環境領域）,木田 新一郎,,,,,,,,,,
5313,Tuesday,1,〔学際〕工学C,萩島　理,,,,,,,,,,
5313,Tuesday,2,世界を理解するための歴史的視座,鬼丸 武士,,,,,,,,,,
5313,Tuesday,3,共創プロジェクト,,,,,,,,,,,
5313,Tuesday,4,共創プロジェクト,,,,,,,,,,,
5313,Wednesday,1,課題研究（地球・環境領域）,仙田 量子,,,,,,,,,,
5313,Wednesday,2,〔学際〕考古学Ｂ,舟橋 京子,,,,,,,,,,
5313,Wednesday,4,課題研究（領域横断）,木實 新一,,,,,,,,,,
5313,Thursday,1,データの収集・分析,木實 新一,,,,,,,,,,
5313,Thursday,2,課題研究（人間・生命領域）,Sur Chowdhury Vishwajit,,,,,,,,,,
5313,Thursday,4,学術研究基礎,伊良皆 啓治,,,,,,,,,,
5306,Tuesday,1,〔学際〕工学C,萩島 理,,,,,,,,,,
5306,Wednesday,1,課題研究（地球・環境領域）,仙田 量子,,,,,,,,,,
5306,Wednesday,2,〔学際〕考古学B,舟橋 京子,,,,,,,,,,
5306,Wednesday,4,課題研究（領域横断）,木實 新一,,,,,,,,,,
5306,Thursday,2,課題研究（人間・生命領域）,Sur Chowdhury Vishwajit,,,,,,,,,,
